PeriodMonth,TotalCustomers,ActiveCustomers,NewCustomers,AvgBasketValue,TotalRevenue,VisitCount,RetentionRate,ChurnRate,CategoryPenetration_OTC,CategoryPenetration_Scripts,CategoryPenetration_Beauty,CategoryPenetration_Vitamins,CategoryPenetration_PersonalCare
2025-04,2840000,1749447,42074,43.32,737200000,5206933,71.4,28.6,72.8,46.4,39,56,65.8
2025-05,2876364,1784764,45310,43.75,758160000,5410631,71.6,28.4,73.3,46.3,39.3,56.2,66.7
2025-06,2912727,1827876,47761,44.01,833367273,5539489,72,28,73.6,47.4,39.9,57.1,66.9
2025-07,2949091,1854320,47628,44,855200000,5856762,72.5,27.5,74.6,47.7,40.6,57.7,67.2
2025-08,2985455,1891437,50756,44.51,830269091,5976088,72.6,27.4,74.5,48.2,40.5,58.1,67.7
2025-09,3021818,1921042,52512,45.17,789090909,6121260,72.8,27.2,75.7,48.7,41.4,58.5,68.3
2025-10,3058182,1974918,55252,45.36,779010909,6335774,73.2,26.8,75.9,49,42,59.5,68.4
2025-11,3094545,1985745,57447,45.69,808734545,6438934,73.5,26.5,76.2,49.8,41.9,60.2,69.1
2025-12,3130909,2038965,60205,46.05,838807273,6794691,73.9,26.1,76.6,50.7,42.6,60.7,69.5
2026-01,3167273,2074820,64369,46.43,739250909,6915421,74.3,25.7,77.1,50.8,43,60.8,70
2026-02,3203636,2104461,66094,46.44,720000000,7076487,74.5,25.5,77.2,51.6,43.5,61.4,70.9
2026-03,3240000,2128684,67785,46.9,807520000,7218575,74.7,25.3,77.9,52.2,44.3,61.6,71
