MFR_NAME,Total_TY_Value,MFR_Market_Share_Pct,YoY_Growth,TopCategories,ProductCount,AvgPrice,YourStoreRevenue,YourStoreShare
KENVUE,556206920,6.0,3.2,"OTC Medicines;Personal Care;Baby & Child",285,12.45,342500,5.8
HALEON,437108328,4.7,1.8,"OTC Medicines;Oral Care;Vitamins & Supplements",220,14.20,268000,4.5
BLACKMORES GROUP,366033276,3.9,5.1,"Vitamins & Supplements;Health Devices;Weight Management",180,18.90,245000,4.1
ASPEN PHARMA PL,294676512,3.2,-0.5,"Prescription;OTC Medicines;Allergy & Sinus",195,16.80,178000,3.0
OPELLA,293681869,3.1,2.4,"OTC Medicines;Digestive Health;Allergy & Sinus",165,13.50,182000,3.1
RCKT BNCKSR AUS PL,292449734,3.1,4.8,"Personal Care;Baby & Child;Sun Care",240,9.80,195000,3.3
PROCTER & GAMBLE,278130626,3.0,1.2,"Personal Care;Oral Care;Beauty & Skincare",210,11.30,168000,2.8
INOVA,257805144,2.8,6.2,"Vitamins & Supplements;OTC Medicines;Digestive Health",145,19.50,172000,2.9
LOREAL GROUPE,221515810,2.4,3.9,"Beauty & Skincare;Personal Care;Fragrance",175,22.40,148000,2.5
BAYER CONSUMER,210316866,2.3,0.8,"OTC Medicines;Allergy & Sinus;First Aid",155,13.90,128000,2.2
EGO,191527524,2.1,4.5,"Beauty & Skincare;Sun Care;Personal Care",120,16.70,135000,2.3
NESTLE,184297642,2.0,2.1,"Vitamins & Supplements;Weight Management;Baby & Child",95,24.60,112000,1.9
SWISSE,166245218,1.8,7.3,"Vitamins & Supplements;Beauty & Skincare;Weight Management",130,21.80,118000,2.0
MCPHERSONS CNSMR,165696423,1.8,1.5,"Beauty & Skincare;Personal Care;Fragrance",110,14.20,98000,1.7
APOTEX,151564545,1.6,-1.2,"Prescription;OTC Medicines;Allergy & Sinus",170,8.90,92000,1.6
