PeriodMonth,AvgBasketValue_P25,AvgBasketValue_Median,AvgBasketValue_P75,AvgBasketValue_YourStore,RetentionRate_P25,RetentionRate_Median,RetentionRate_P75,RetentionRate_YourStore,VisitsPerCustomer_P25,VisitsPerCustomer_Median,VisitsPerCustomer_P75,VisitsPerCustomer_YourStore
2025-04,29.46,40.16,47.95,48.16,59.9,69.3,78.1,72.5,1.8,2.8,4.0,3.2
2025-05,30.42,42.98,52.44,40.43,60.5,64.6,80.3,72.1,2.2,2.6,3.7,3.2
2025-06,30.90,37.35,53.11,48.39,61.2,69.1,76.4,71.0,2.2,2.9,3.9,3.1
2025-07,33.82,41.10,48.67,39.30,55.8,64.3,76.0,76.5,2.1,2.7,3.6,3.1
2025-08,33.60,36.49,46.96,41.27,57.8,68.4,78.3,73.7,1.9,3.1,3.5,2.8
2025-09,29.82,41.33,54.02,42.42,58.5,70.2,74.2,76.7,2.1,2.8,3.8,3.5
2025-10,29.89,42.42,47.56,45.40,55.6,65.7,74.6,77.8,1.9,3.1,3.9,3.6
2025-11,29.34,43.76,54.88,48.82,56.5,72.0,78.2,70.5,2.0,2.9,3.8,3.3
2025-12,30.31,43.20,54.18,47.15,55.2,68.6,76.4,68.6,1.9,3.2,3.6,3.3
2026-01,30.50,43.35,50.15,38.32,57.7,65.5,78.5,76.9,1.9,3.2,4.1,3.5
2026-02,32.21,37.72,56.85,45.21,57.9,69.4,74.8,76.6,2.3,3.2,3.7,3.7
2026-03,29.37,38.48,56.18,46.40,58.7,65.7,78.2,68.8,2.1,2.8,3.9,3.1
