PeriodMonth,Segment,CustomerCount,AvgBasketValue,AvgVisits,TotalRevenue,RetentionRate
2025-04,Power Shoppers,559,99.19,6.9,382586,94.2
2025-04,Regular Shoppers,1500,43.29,2.9,188312,74.0
2025-04,Occasional Visitors,1433,41.40,1.7,100855,37.5
2025-04,New Customers,707,49.19,2.7,93899,58.8
2025-04,At-Risk,766,40.69,0.3,9351,14.0
2025-05,Power Shoppers,537,69.02,6.3,233502,85.5
2025-05,Regular Shoppers,1699,52.57,3.0,267949,71.0
2025-05,Occasional Visitors,1483,34.94,1.3,67361,36.7
2025-05,New Customers,726,38.12,1.1,30443,62.9
2025-05,At-Risk,733,36.07,0.9,23795,10.8
2025-06,Power Shoppers,588,109.90,11.6,749606,90.5
2025-06,Regular Shoppers,1599,39.31,3.1,194856,72.4
2025-06,Occasional Visitors,1081,38.20,1.6,66071,48.8
2025-06,New Customers,771,45.72,2.1,74025,45.2
2025-06,At-Risk,624,52.80,0.4,13179,25.8
2025-07,Power Shoppers,544,84.32,9.7,444940,90.7
2025-07,Regular Shoppers,1334,44.22,2.8,165171,74.5
2025-07,Occasional Visitors,1494,34.03,2.1,106766,52.6
2025-07,New Customers,574,29.50,2.8,47412,48.0
2025-07,At-Risk,689,53.74,0.3,11108,11.8
2025-08,Power Shoppers,425,108.81,10.7,494813,92.7
2025-08,Regular Shoppers,1152,48.11,4.2,232775,74.5
2025-08,Occasional Visitors,1176,31.47,2.4,88821,54.3
2025-08,New Customers,773,42.39,1.3,42598,50.5
2025-08,At-Risk,555,53.29,0.9,26618,24.0
2025-09,Power Shoppers,605,103.31,11.5,718779,95.8
2025-09,Regular Shoppers,1131,47.29,3.5,187197,76.3
2025-09,Occasional Visitors,1182,33.36,1.8,70977,44.6
2025-09,New Customers,785,40.44,2.2,69840,50.9
2025-09,At-Risk,661,48.92,0.3,9701,20.8
2025-10,Power Shoppers,510,93.09,7.7,365564,94.1
2025-10,Regular Shoppers,1119,46.48,3.2,166436,77.3
2025-10,Occasional Visitors,1181,33.84,2.0,79930,48.9
2025-10,New Customers,862,49.29,1.0,42488,63.7
2025-10,At-Risk,862,46.16,0.9,35811,29.9
2025-11,Power Shoppers,642,67.76,11.3,491572,88.9
2025-11,Regular Shoppers,1509,42.56,5.0,321115,73.7
2025-11,Occasional Visitors,944,22.59,1.1,23457,40.9
2025-11,New Customers,718,35.71,2.8,71791,53.2
2025-11,At-Risk,653,34.53,0.8,18038,13.4
2025-12,Power Shoppers,636,67.48,11.1,476382,95.0
2025-12,Regular Shoppers,1263,59.76,5.0,377384,67.4
2025-12,Occasional Visitors,1142,25.28,1.1,31757,36.3
2025-12,New Customers,525,44.04,1.7,39306,53.3
2025-12,At-Risk,838,49.47,1.0,41456,29.0
2026-01,Power Shoppers,609,93.49,11.5,654757,89.6
2026-01,Regular Shoppers,1573,42.27,3.9,259314,74.8
2026-01,Occasional Visitors,1397,39.58,2.4,132704,51.1
2026-01,New Customers,511,36.04,1.9,34991,47.0
2026-01,At-Risk,631,32.97,0.5,10402,18.5
2026-02,Power Shoppers,552,96.19,10.3,546898,93.7
2026-02,Regular Shoppers,1655,38.15,2.6,164159,72.1
2026-02,Occasional Visitors,1063,24.63,2.4,62836,41.7
2026-02,New Customers,595,30.64,1.7,30992,59.9
2026-02,At-Risk,683,50.53,0.5,17256,11.5
2026-03,Power Shoppers,463,96.51,8.1,361941,89.5
2026-03,Regular Shoppers,1321,46.83,3.9,241263,76.5
2026-03,Occasional Visitors,1479,28.89,1.8,76911,40.7
2026-03,New Customers,549,47.31,1.8,46752,63.3
2026-03,At-Risk,718,46.21,0.6,19907,19.5
